cell,family,wire_max,scale_law,dsp_page,dsp_addr,unit,kernel_expects,note
MainSub[1-1]CompDetSrc[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]CompEqPos[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]CompFilterHpf[1-1],SubComp,32,0=20/64=1000/[Log],,,UNDECLARED,,
MainSub[1-1]CompFilterLpf[1-1],SubComp,127,0=500/127=20000/[Log],,,UNDECLARED,,
MainSub[1-1]CompFilterOn[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]CompFilterQ[1-1],SubComp,7,0=0.1/14=10/[Log],,,UNDECLARED,,
MainSub[1-1]CompKey[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]CompLimMode[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]CompThr[1-1],SubComp,,0=-60/140=10/[Lin],,,UNDECLARED,,
MainSub[1-1]CompType[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]Delay[1-1],MainSubDelay,,0=0/127=250/[Log],,,UNDECLARED,,
MainSub[1-1]EqFreq[1-1],SubEq,127,0=20/254=200/[Log],,,UNDECLARED,,
MainSub[1-1]EqFreq[2-2],SubEq,127,0=100/254=1000/[Log],,,UNDECLARED,,
MainSub[1-1]EqFreq[3-3],SubEq,127,0=800/254=5000/[Log],,,UNDECLARED,,
MainSub[1-1]EqFreq[4-4],SubEq,127,0=3000/254=20000/[Log],,,UNDECLARED,,
MainSub[1-1]EqGain[1-4],SubEq,60,0=-15/120=15/[Lin],,,UNDECLARED,,
MainSub[1-1]EqHpf[1-1],SubEq,32,0=20/64=1000/[Log],,,UNDECLARED,,
MainSub[1-1]EqOn[1-1],SubEq,,,,,UNDECLARED,,
MainSub[1-1]EqQ[1-4],SubEq,60,0=0.1/120=10/[Log],,,UNDECLARED,,
MainSub[1-1]EqShelf[1-2],SubEq,,,,,UNDECLARED,,
MainSub[1-1]LimiterAtt[1-1],SubLimiter,,0=0.1/127=100/[Log],,,UNDECLARED,,
MainSub[1-1]LimiterOn[1-1],SubLimiter,,,,,UNDECLARED,,
MainSub[1-1]LimiterRel[1-1],SubLimiter,,0=5/127=2000/[Log],,,UNDECLARED,,
MainSub[1-1]LimiterThr[1-1],SubLimiter,,0=-30/127=0/[Lin],,,UNDECLARED,,
MainSub[1-1]Dca[1-1],MainSubDca,,,,,UNDECLARED,,
MainSub[1-1]DcaOn[1-1],MainSubDcaOn,,,,,UNDECLARED,,
MainSub[1-1]Level[1-1],MainSubLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
MainSub[1-1]Mute[1-1],MainSubMute,,,,,UNDECLARED,,
Sys[1-1]AuxOnFdr[1-1],SysAuxOnFdr,,,,,UNDECLARED,,
Sys[1-1]BtnBright[1-1],SysBtnBright,,,,,UNDECLARED,,
Sys[1-1]Cue[1-64],SysCue,,,,,UNDECLARED,,
Sys[1-1]CueMode[1-1],SysCueMode,,,,,UNDECLARED,,
Sys[1-1]Def[1-1],SysDef,,,,,UNDECLARED,,
Sys[1-1]Enc[1-1],Sys_Enc,,50|3|20|100|1|10,,,UNDECLARED,,
Aux[1-8]AntiFbCtrlOn[1-1],AuxAntiFbCtrlOn,,,,,UNDECLARED,,
Sys[1-1]FdrDown[1-1],SysFdrDown,,,,,UNDECLARED,,
Sys[1-1]FootMode[1-1],SysFootMode,,,,,UNDECLARED,,
Sys[1-1]Keys[1-127],SysKeys,,,,,UNDECLARED,,
Sys[1-1]LCR[1-1],Sys_LCR,,,,,UNDECLARED,,
Sys[1-1]Lock[1-1],SysLock,,,,,UNDECLARED,,
Sys[1-1]Man[1-1],SysMan,,,,,UNDECLARED,,
Sys[1-1]MtrSrc[1-1],SysMtrSrc,,,,,UNDECLARED,,
Sys[1-1]DynPlotMode[1-1],SysDynPlotMode,0,,,,UNDECLARED,,
Sys[1-1]MxMode[1-1],SysMxMode,,,,,UNDECLARED,,
Sys[1-1]OptMix[1-1],SysOptMix,,,,,UNDECLARED,,
Sys[1-1]Reg[1-10],SysReg,,,,,UNDECLARED,,
Sys[1-1]Reset[1-1],SysReset,,,,,UNDECLARED,,
Sys[1-1]Scene[1-1],SysScene,,,,,UNDECLARED,,
Sys[1-1]SelectedAux[1-1],SysSelectedAux,,,,,UNDECLARED,,
Sys[1-1]SelectedChan[1-1],SysSelectedChan,,,,,UNDECLARED,,
Sys[1-1]SceneSafe[1-24],SysSceneSafe,,,,,UNDECLARED,,
Sys[1-1]ScrBright[1-1],Sys_ScrBright,75,,,,UNDECLARED,,
Sys[1-1]Skin[1-1],SysSkin,,,,,UNDECLARED,,
Sys[1-1]Test[1-2],SysTest,,,,,UNDECLARED,,
Aux[1-8]AntiFbNotchFreq[1-6],AuxAntiFbNotchFreq,,0=40/127=12000/[Log],,,UNDECLARED,,
Aux[1-8]AntiFbNotchGain[1-6],AuxAntiFbNotchGain,,0=-18/127=0/[Lin],,,UNDECLARED,,
Aux[1-8]AntiFbNotchQ[1-6],AuxAntiFbNotchQ,,0=1/127=20/[Log],,,UNDECLARED,,
Aux[1-8]AntiFbOn[1-1],AuxAntiFbOn,,,,,UNDECLARED,,
Talk[1-1]Hpf[1-1],TalkHpf,,,,,UNDECLARED,,
Talk[1-1]On[1-1],TalkOn,,,,,UNDECLARED,,
Talk[1-1]Dest[1-3],TalkDest,,,,,UNDECLARED,,
Talk[1-2]Gain[1-1],TalkGain,,,,,UNDECLARED,,
Talk[2-2]Hpf[1-1],TalkHpf,,,,,UNDECLARED,,
Talk[2-2]On[1-1],TalkOn,,,,,UNDECLARED,,
Talk[2-2]Dest[1-3],TalkDest,,,,,UNDECLARED,,
Usb[1-1]On[1-1],UsbOn,,,,,UNDECLARED,,
Usb[1-1]Level[1-1],UsbLevel,,0=-20/127=6/[Lin],,,UNDECLARED,,
Aux[1-8]Name[1-1],AuxName,,,,,UNDECLARED,,
Chan[1-1]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[2-2]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[3-3]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[4-4]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[5-5]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[6-6]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[7-7]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[8-8]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[9-9]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[10-10]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[11-11]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[12-12]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[13-13]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[14-14]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[15-15]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[16-16]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[17-17]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[18-18]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[19-19]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[20-20]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[21-21]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[22-22]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[23-23]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Chan[24-24]Name[1-1],ChanName,,,,,text,n/a — host-side only,names are the forever contract keys
Dca[1-8]Name[1-1],DcaName,,,,,UNDECLARED,,
Fx[1-6]Name[1-1],FxName,,,,,UNDECLARED,,
Grp[1-4]Name[1-1],GrpName,,,,,UNDECLARED,,
MainSub[1-1]Name[1-1],MainSubName,,,,,UNDECLARED,,
MainSub[1-1]CrossoverFreq[1-1],MainCrossover,,,,,UNDECLARED,,
MainSub[1-1]CrossoverSlope[1-1],MainCrossover,,,,,UNDECLARED,,
MainSub[1-1]LimiterRng[1-1],MainLimiter,,0=0/127=60/[Lin],,,UNDECLARED,,
Main[1-1]Name[1-1],MainName,,,,,UNDECLARED,,
Main[1-1]Out3Mode[1-1],MainOut3Mode,,,,,UNDECLARED,,
MainCtr[1-1]CompAtt[1-1],MainComp,,0=0/254=250/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompKnee[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompMake[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompOn[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompPar[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompRat[1-1],MainComp,,0=1/127=30/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompRel[1-1],MainComp,,0=5/254=5000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompDetSrc[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompEqPos[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompFilterHpf[1-1],MainComp,32,0=20/64=1000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompFilterLpf[1-1],MainComp,127,0=500/127=20000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompFilterOn[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompFilterQ[1-1],MainComp,7,0=0.1/14=10/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompKey[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompLimMode[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompThr[1-1],MainComp,,0=-60/140=10/[Lin],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CompType[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainCtr[1-1]CrossoverFreq[1-1],MainCrossover,,,,,UNDECLARED,,
MainCtr[1-1]CrossoverSlope[1-1],MainCrossover,,,,,UNDECLARED,,
MainCtr[1-1]EqFreq[1-1],MainEq,127,0=20/254=200/[Log],,,UNDECLARED,,
MainCtr[1-1]EqFreq[2-2],MainEq,127,0=100/254=1000/[Log],,,UNDECLARED,,
MainCtr[1-1]EqFreq[3-3],MainEq,127,0=800/254=5000/[Log],,,UNDECLARED,,
MainCtr[1-1]EqFreq[4-4],MainEq,127,0=3000/254=20000/[Log],,,UNDECLARED,,
MainCtr[1-1]EqGain[1-4],MainEq,60,0=-15/120=15/[Lin],,,UNDECLARED,,
MainCtr[1-1]EqHpf[1-4],MainEq,32,0=20/64=1000/[Log],,,UNDECLARED,,
MainCtr[1-1]EqOn[1-1],MainEq,,,,,UNDECLARED,,
MainCtr[1-1]EqQ[1-4],MainEq,60,0=0.1/120=10/[Log],,,UNDECLARED,,
MainCtr[1-1]EqShelf[1-2],MainEq,,,,,UNDECLARED,,
MainCtr[1-1]LimiterAtt[1-1],MainLimiter,,0=0.1/127=100/[Log],,,UNDECLARED,,
MainCtr[1-1]LimiterOn[1-1],MainLimiter,,,,,UNDECLARED,,
MainCtr[1-1]LimiterRel[1-1],MainLimiter,,0=5/127=2000/[Log],,,UNDECLARED,,
MainCtr[1-1]LimiterRng[1-1],MainLimiter,,0=0/127=60/[Lin],,,UNDECLARED,,
MainCtr[1-1]LimiterThr[1-1],MainLimiter,,0=-30/127=0/[Lin],,,UNDECLARED,,
MainCtr[1-1]PeqGain[1-12],MainCtrPeqGain,32,0=-12/127=12/[Lin],,,UNDECLARED,,
MainCtr[1-1]Dca[1-1],MainCtrDca,,,,,UNDECLARED,,
MainCtr[1-1]DcaOn[1-1],MainCtrDcaOn,,,,,UNDECLARED,,
MainCtr[1-1]Level[1-1],MainCtrLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
MainCtr[1-1]Mute[1-1],MainCtrMute,,,,,UNDECLARED,,
MainCtr[1-1]Delay[1-1],MainCtrDelay,,,,,UNDECLARED,,
MainCtr[1-1]Mtr[1-1],MainCtrMtr,,,,,UNDECLARED,,
MainCtr[1-1]Name[1-1],MainCtrName,,,,,UNDECLARED,,
Matrix[1-2]Name[1-1],MatrixName,,,,,UNDECLARED,,
Sys[1-1]SwUpd[1-1],SysSwUpd,,,,,UNDECLARED,,
