_Cell,Family,Bucket,Reason,Class,DspAddrHex,InertSymbol,Notes
Chan017CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x0943) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_17",,0x0943,_comp_lim_mode_C1_COMP_17,Compressor/Limiter mode toggle
Chan018CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x09D3) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_18",,0x09D3,_comp_lim_mode_C1_COMP_18,Compressor/Limiter mode toggle
Chan019CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x0A63) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_19",,0x0A63,_comp_lim_mode_C1_COMP_19,Compressor/Limiter mode toggle
Chan020CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x0AF3) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_20",,0x0AF3,_comp_lim_mode_C1_COMP_20,Compressor/Limiter mode toggle
Chan021CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x0B83) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_21",,0x0B83,_comp_lim_mode_C1_COMP_21,Compressor/Limiter mode toggle
Chan022CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x0C13) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_22",,0x0C13,_comp_lim_mode_C1_COMP_22,Compressor/Limiter mode toggle
Chan023CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x0CA3) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_23",,0x0CA3,_comp_lim_mode_C1_COMP_23,Compressor/Limiter mode toggle
Chan024CompLimMode001,ChanCompLimMode,dsp-missing,"addressed (chip 1, 0x0D33) and NOT SERVED: shared-kernel field comp_lim_mode, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_lim_mode_C1_COMP_24",,0x0D33,_comp_lim_mode_C1_COMP_24,Compressor/Limiter mode toggle
Chan001CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0040) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_01",,0x0040,_comp_type_C1_COMP_01,Compressor type (Tube/FET/VCA/Optical)
Chan002CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x00D0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_02",,0x00D0,_comp_type_C1_COMP_02,Compressor type (Tube/FET/VCA/Optical)
Chan003CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0160) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_03",,0x0160,_comp_type_C1_COMP_03,Compressor type (Tube/FET/VCA/Optical)
Chan004CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x01F0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_04",,0x01F0,_comp_type_C1_COMP_04,Compressor type (Tube/FET/VCA/Optical)
Chan005CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0280) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_05",,0x0280,_comp_type_C1_COMP_05,Compressor type (Tube/FET/VCA/Optical)
Chan006CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0310) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_06",,0x0310,_comp_type_C1_COMP_06,Compressor type (Tube/FET/VCA/Optical)
Chan007CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x03A0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_07",,0x03A0,_comp_type_C1_COMP_07,Compressor type (Tube/FET/VCA/Optical)
Chan008CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0430) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_08",,0x0430,_comp_type_C1_COMP_08,Compressor type (Tube/FET/VCA/Optical)
Chan009CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x04C0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_09",,0x04C0,_comp_type_C1_COMP_09,Compressor type (Tube/FET/VCA/Optical)
Chan010CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0550) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_10",,0x0550,_comp_type_C1_COMP_10,Compressor type (Tube/FET/VCA/Optical)
Chan011CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x05E0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_11",,0x05E0,_comp_type_C1_COMP_11,Compressor type (Tube/FET/VCA/Optical)
Chan012CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0670) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_12",,0x0670,_comp_type_C1_COMP_12,Compressor type (Tube/FET/VCA/Optical)
Chan013CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0700) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_13",,0x0700,_comp_type_C1_COMP_13,Compressor type (Tube/FET/VCA/Optical)
Chan014CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0790) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_14",,0x0790,_comp_type_C1_COMP_14,Compressor type (Tube/FET/VCA/Optical)
Chan015CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0820) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_15",,0x0820,_comp_type_C1_COMP_15,Compressor type (Tube/FET/VCA/Optical)
Chan016CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x08B0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_16",,0x08B0,_comp_type_C1_COMP_16,Compressor type (Tube/FET/VCA/Optical)
Chan017CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0940) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_17",,0x0940,_comp_type_C1_COMP_17,Compressor type (Tube/FET/VCA/Optical)
Chan018CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x09D0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_18",,0x09D0,_comp_type_C1_COMP_18,Compressor type (Tube/FET/VCA/Optical)
Chan019CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0A60) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_19",,0x0A60,_comp_type_C1_COMP_19,Compressor type (Tube/FET/VCA/Optical)
Chan020CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0AF0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_20",,0x0AF0,_comp_type_C1_COMP_20,Compressor type (Tube/FET/VCA/Optical)
Chan021CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0B80) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_21",,0x0B80,_comp_type_C1_COMP_21,Compressor type (Tube/FET/VCA/Optical)
Chan022CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0C10) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_22",,0x0C10,_comp_type_C1_COMP_22,Compressor type (Tube/FET/VCA/Optical)
Chan023CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0CA0) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_23",,0x0CA0,_comp_type_C1_COMP_23,Compressor type (Tube/FET/VCA/Optical)
Chan024CompType001,ChanCompType,dsp-missing,"addressed (chip 1, 0x0D30) and NOT SERVED: shared-kernel field comp_type, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_type_C1_COMP_24",,0x0D30,_comp_type_C1_COMP_24,Compressor type (Tube/FET/VCA/Optical)
Chan001GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x002F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_01",,0x002F,_gate_det_src_C1_GATE_01,Gate self-key tap source (PreEQ/PostEQ)
Chan002GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x00BF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_02",,0x00BF,_gate_det_src_C1_GATE_02,Gate self-key tap source (PreEQ/PostEQ)
Chan003GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x014F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_03",,0x014F,_gate_det_src_C1_GATE_03,Gate self-key tap source (PreEQ/PostEQ)
Chan004GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x01DF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_04",,0x01DF,_gate_det_src_C1_GATE_04,Gate self-key tap source (PreEQ/PostEQ)
Chan005GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x026F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_05",,0x026F,_gate_det_src_C1_GATE_05,Gate self-key tap source (PreEQ/PostEQ)
Chan006GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x02FF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_06",,0x02FF,_gate_det_src_C1_GATE_06,Gate self-key tap source (PreEQ/PostEQ)
Chan007GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x038F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_07",,0x038F,_gate_det_src_C1_GATE_07,Gate self-key tap source (PreEQ/PostEQ)
Chan008GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x041F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_08",,0x041F,_gate_det_src_C1_GATE_08,Gate self-key tap source (PreEQ/PostEQ)
Chan009GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x04AF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_09",,0x04AF,_gate_det_src_C1_GATE_09,Gate self-key tap source (PreEQ/PostEQ)
Chan010GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x053F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_10",,0x053F,_gate_det_src_C1_GATE_10,Gate self-key tap source (PreEQ/PostEQ)
Chan011GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x05CF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_11",,0x05CF,_gate_det_src_C1_GATE_11,Gate self-key tap source (PreEQ/PostEQ)
Chan012GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x065F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_12",,0x065F,_gate_det_src_C1_GATE_12,Gate self-key tap source (PreEQ/PostEQ)
Chan013GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x06EF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_13",,0x06EF,_gate_det_src_C1_GATE_13,Gate self-key tap source (PreEQ/PostEQ)
Chan014GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x077F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_14",,0x077F,_gate_det_src_C1_GATE_14,Gate self-key tap source (PreEQ/PostEQ)
Chan015GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x080F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_15",,0x080F,_gate_det_src_C1_GATE_15,Gate self-key tap source (PreEQ/PostEQ)
Chan016GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x089F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_16",,0x089F,_gate_det_src_C1_GATE_16,Gate self-key tap source (PreEQ/PostEQ)
Chan017GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x092F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_17",,0x092F,_gate_det_src_C1_GATE_17,Gate self-key tap source (PreEQ/PostEQ)
Chan018GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x09BF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_18",,0x09BF,_gate_det_src_C1_GATE_18,Gate self-key tap source (PreEQ/PostEQ)
Chan019GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x0A4F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_19",,0x0A4F,_gate_det_src_C1_GATE_19,Gate self-key tap source (PreEQ/PostEQ)
Chan020GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x0ADF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_20",,0x0ADF,_gate_det_src_C1_GATE_20,Gate self-key tap source (PreEQ/PostEQ)
Chan021GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x0B6F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_21",,0x0B6F,_gate_det_src_C1_GATE_21,Gate self-key tap source (PreEQ/PostEQ)
Chan022GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x0BFF) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_22",,0x0BFF,_gate_det_src_C1_GATE_22,Gate self-key tap source (PreEQ/PostEQ)
Chan023GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x0C8F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_23",,0x0C8F,_gate_det_src_C1_GATE_23,Gate self-key tap source (PreEQ/PostEQ)
Chan024GateDetSrc001,ChanGateDetSrc,dsp-missing,"addressed (chip 1, 0x0D1F) and NOT SERVED: shared-kernel field gate_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_det_src_C1_GATE_24",,0x0D1F,_gate_det_src_C1_GATE_24,Gate self-key tap source (PreEQ/PostEQ)
Chan001GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x002E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_01",,0x002E,_gate_key_src_C1_GATE_01,Gate sidechain key source
Chan002GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x00BE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_02",,0x00BE,_gate_key_src_C1_GATE_02,Gate sidechain key source
Chan003GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x014E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_03",,0x014E,_gate_key_src_C1_GATE_03,Gate sidechain key source
Chan004GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x01DE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_04",,0x01DE,_gate_key_src_C1_GATE_04,Gate sidechain key source
Chan005GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x026E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_05",,0x026E,_gate_key_src_C1_GATE_05,Gate sidechain key source
Chan006GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x02FE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_06",,0x02FE,_gate_key_src_C1_GATE_06,Gate sidechain key source
Chan007GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x038E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_07",,0x038E,_gate_key_src_C1_GATE_07,Gate sidechain key source
Chan008GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x041E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_08",,0x041E,_gate_key_src_C1_GATE_08,Gate sidechain key source
Chan009GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x04AE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_09",,0x04AE,_gate_key_src_C1_GATE_09,Gate sidechain key source
Chan010GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x053E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_10",,0x053E,_gate_key_src_C1_GATE_10,Gate sidechain key source
Chan011GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x05CE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_11",,0x05CE,_gate_key_src_C1_GATE_11,Gate sidechain key source
Chan012GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x065E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_12",,0x065E,_gate_key_src_C1_GATE_12,Gate sidechain key source
Chan013GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x06EE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_13",,0x06EE,_gate_key_src_C1_GATE_13,Gate sidechain key source
Chan014GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x077E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_14",,0x077E,_gate_key_src_C1_GATE_14,Gate sidechain key source
Chan015GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x080E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_15",,0x080E,_gate_key_src_C1_GATE_15,Gate sidechain key source
Chan016GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x089E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_16",,0x089E,_gate_key_src_C1_GATE_16,Gate sidechain key source
Chan017GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x092E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_17",,0x092E,_gate_key_src_C1_GATE_17,Gate sidechain key source
Chan018GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x09BE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_18",,0x09BE,_gate_key_src_C1_GATE_18,Gate sidechain key source
Chan019GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x0A4E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_19",,0x0A4E,_gate_key_src_C1_GATE_19,Gate sidechain key source
Chan020GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x0ADE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_20",,0x0ADE,_gate_key_src_C1_GATE_20,Gate sidechain key source
Chan021GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x0B6E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_21",,0x0B6E,_gate_key_src_C1_GATE_21,Gate sidechain key source
Chan022GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x0BFE) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_22",,0x0BFE,_gate_key_src_C1_GATE_22,Gate sidechain key source
Chan023GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x0C8E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_23",,0x0C8E,_gate_key_src_C1_GATE_23,Gate sidechain key source
Chan024GateKey001,ChanGateKey,dsp-missing,"addressed (chip 1, 0x0D1E) and NOT SERVED: shared-kernel field gate_key_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _gate_key_src_C1_GATE_24",,0x0D1E,_gate_key_src_C1_GATE_24,Gate sidechain key source
Dca001Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x070A) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_01",,0x070A,_dca_mute_C2_DCA_01,DCA group mute on/off
Dca002Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x070C) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_02",,0x070C,_dca_mute_C2_DCA_02,DCA group mute on/off
Dca003Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x070E) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_03",,0x070E,_dca_mute_C2_DCA_03,DCA group mute on/off
Dca004Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x0710) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_04",,0x0710,_dca_mute_C2_DCA_04,DCA group mute on/off
Dca005Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x0712) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_05",,0x0712,_dca_mute_C2_DCA_05,DCA group mute on/off
Dca006Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x0714) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_06",,0x0714,_dca_mute_C2_DCA_06,DCA group mute on/off
Dca007Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x0716) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_07",,0x0716,_dca_mute_C2_DCA_07,DCA group mute on/off
Dca008Mute001,DcaMute,dsp-missing,"addressed (chip 2, 0x0718) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _dca_mute_C2_DCA_08",,0x0718,_dca_mute_C2_DCA_08,DCA group mute on/off
Fx001Decay001,FxDecay,dsp-missing,"addressed (chip 2, 0x0656) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _fx_decay_C2_FX_ENG_01",,0x0656,_fx_decay_C2_FX_ENG_01,FX reverb decay time
Fx002Decay001,FxDecay,dsp-missing,"addressed (chip 2, 0x0672) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _fx_decay_C2_FX_ENG_02",,0x0672,_fx_decay_C2_FX_ENG_02,FX reverb decay time
Fx003Decay001,FxDecay,dsp-missing,"addressed (chip 2, 0x068E) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _fx_decay_C2_FX_ENG_03",,0x068E,_fx_decay_C2_FX_ENG_03,FX reverb decay time
Fx004Decay001,FxDecay,dsp-missing,"addressed (chip 2, 0x06AA) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _fx_decay_C2_FX_ENG_04",,0x06AA,_fx_decay_C2_FX_ENG_04,FX reverb decay time
Fx005Decay001,FxDecay,dsp-missing,"addressed (chip 2, 0x06C6) and NOT SERVED: symbol inert — a host write lands in DM and no instruction of the running kernel looks at _fx_decay_C2_FX_ENG_05",,0x06C6,_fx_decay_C2_FX_ENG_05,FX reverb decay time
