board,item,test,verdict,measured,limit,evidence,stamp
Assemblies,SHARC DSP A (ADSP-21564),AS-DSPA,PASS,"CHIP_ID 1 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 32221->36671 (delta 4450), 28/47 lanes CARRYING",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 30788 TICKS 9614 SEC_COUNT 30791 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 3900 SPI_RX_COUNT 5361 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x00...,2026-09-22T19:02:37Z
Inter-board links,Link 'dig-dsp-a',AS-DSPA,PASS,"CHIP_ID 1 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 32221->36671 (delta 4450), 28/47 lanes CARRYING",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 30788 TICKS 9614 SEC_COUNT 30791 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 3900 SPI_RX_COUNT 5361 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x00...,2026-09-22T19:02:37Z
Assemblies,SHARC DSP B (ADSP-21564),AS-DSPB,PASS,"CHIP_ID 2 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 45213->49708 (delta 4495)",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 43726 TICKS 13751 SEC_COUNT 43730 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 4951 SPI_RX_COUNT 286 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x00...,2026-09-22T19:02:40Z
Inter-board links,Link 'dig-dsp-b',AS-DSPB,PASS,"CHIP_ID 2 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 45213->49708 (delta 4495)",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 43726 TICKS 13751 SEC_COUNT 43730 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 4951 SPI_RX_COUNT 286 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x00...,2026-09-22T19:02:40Z
Assemblies,CPLD clock master (MAX V),AS-CPLD,NO DATA,design id unreadable under dsp4-pcm-slave; BLK_OVERRUN delta over 10 s: chip1 0 chip2 0,id = d02d83b3cc22 and zero overrun delta,"config.txt: 74:dtoverlay=dsp4-pcm-slave --- logic_id --- design_id: 32'h83b3cc22 cfg_bits: 16'h0010 SHIPPING reply frames 2175 of 144000 captured, 1 distinct reply words --- blk30 chip1 --- chip1: BOOT_STAGE 7->7 SEC_COUNT 95593 chip1: 30011 blocks in 10.0 s = 3000/s (bar 3000/s at BLOCK=16) chip1: BLK_OVERRUN 3900 -> 3900 (delta 0) SPORT0_ERR_A 0x00000000 chip1: BLK_OK --- blk30 chip2 --- chip...",2026-09-22T19:03:05Z
Assemblies,"ADC AK5558 ×3 (U15 dead, U39, U60)",AS-ADC,NO DATA,no mic ADC lane in the scan,U39 and U60 lanes alive and not stuck-at (U15's eight are known dead on MW-D24-2),AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output IN_04 0 0 0 0 16 12 -116.86 -108.93 00000700 00000500 00000e00 CARRYING IN_16 1 1 0 1 16 14 -117.76 -112.45 fffff200 00000600 00001200 CARRYING IN_03 2 2 0 2 16 14 -115.70 -111.63 00000e00 00001100 00000100 CARRYING IN_15 3 3 0 3 16 14 -119.68 -114.95 00000400 fffffc00 fffff600 CARRYING IN_14 4 4 0 4 16 10 -115.57 -111.63 00000400 00000400 0...,2026-09-22T19:03:07Z
Inter-board links,Link 'dig-analog-adc',AS-ADC,NO DATA,no mic ADC lane in the scan,U39 and U60 lanes alive and not stuck-at (U15's eight are known dead on MW-D24-2),AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output IN_04 0 0 0 0 16 12 -116.86 -108.93 00000700 00000500 00000e00 CARRYING IN_16 1 1 0 1 16 14 -117.76 -112.45 fffff200 00000600 00001200 CARRYING IN_03 2 2 0 2 16 14 -115.70 -111.63 00000e00 00001100 00000100 CARRYING IN_15 3 3 0 3 16 14 -119.68 -114.95 00000400 fffffc00 fffff600 CARRYING IN_14 4 4 0 4 16 10 -115.57 -111.63 00000400 00000400 0...,2026-09-22T19:03:07Z
Assemblies,DAC AK4458 ×2,AS-DAC,NO DATA,TX slot read (see evidence); no stimulus on this image (TEST_NODES symbol: False),"slots non-constant while TEST_OSC runs, correct level in dBFS","--- coherent capture of _tx_out_slot_C2_MON_OUT (256 samples) --- _tx_out_slot_C2_MON_OUT at 0x0B10CC, capturing 256 contiguous samples captured True samples, 256 non-zero first 16 Q4.28: +0.00000 +0.00000 +0.00000 +0.00001 -0.00000 +0.00000 +0.00001 +0.00000 -0.00000 +0.00000 +0.00000 -0.00000 -0.00000 +0.00000 -0.00000 -0.00000 chip1 carries _osc_blk_q_C1_TEST_OSC: False PREREQUISITE: a stimu...",2026-09-22T19:03:11Z
Inter-board links,Link 'dig-analog-dac',AS-DAC,NO DATA,TX slot read (see evidence); no stimulus on this image (TEST_NODES symbol: False),"slots non-constant while TEST_OSC runs, correct level in dBFS","--- coherent capture of _tx_out_slot_C2_MON_OUT (256 samples) --- _tx_out_slot_C2_MON_OUT at 0x0B10CC, capturing 256 contiguous samples captured True samples, 256 non-zero first 16 Q4.28: +0.00000 +0.00000 +0.00000 +0.00001 -0.00000 +0.00000 +0.00001 +0.00000 -0.00000 +0.00000 +0.00000 -0.00000 -0.00000 +0.00000 -0.00000 -0.00000 chip1 carries _osc_blk_q_C1_TEST_OSC: False PREREQUISITE: a stimu...",2026-09-22T19:03:11Z
Assemblies,"Power MCU (STM32F030F4, always-on)",AS-PWR,NO DATA,no reader for the power MCU's published words; AN_EN (GPIO26) = 26: op -- pd | lo,"state running, PWR_FAIL clear, AN_EN as expected","PREREQUISITE: a reader for the power MCU over MHRX. Nothing in this repo reads the power MCU's state word, PWR_FAIL or its AN_EN view; src/fw/d24-pwr-mcu-def.csv is not in this tree (it is mx26's). AN_EN is not an MCU word at all -- it is CM4 GPIO26, read here as: 26: op -- pd | lo // GPIO26 = output",2026-09-22T19:03:11Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,NO DATA,1 MEMS lanes all STATIC with AN_EN 26: op -- pd | lo,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC PREREQUISITE: the analog rails. AN_EN (GPIO26) is low and a dispatched session may not raise it (bench note 19 / S49-15: ""AN_EN is never written by a dispatched session""). With the front ends unpowered a STATIC lane is the test state, not a converter fault, so this is...",2026-09-22T19:03:13Z
Left Switch PCBA,Speaker,SP1,NO DATA,no TEST_OSC -> SPKR route in the topology,1 kHz tone on the MEMS lane >= 20 dB above its idle floor,"DEF ITEM, not a fixture (the spec's own disposition for this case). No node or cell named for the speaker exists: zero hits for spkr/speaker in defs/products/d24/dsp.csv and MW/D24/MX/_matrix.csv. SPKR0/SPKR1 are connector pins only (d24-hw-inventory.csv:1075 Left Switch J2; :278 Analog J59). The path is DSPB O2 = PLL8_1 = CDC_I -> AK4619 codec DAC -> TS482 amp on the Digital board -> panels (h...",2026-09-22T19:03:13Z
Digital,Ethernet (RJ45),NW3,PASS,"host 192.168.1.211: 0.0% loss, min/avg/max 0.374/0.513/0.678 ms; gateway 192.168.1.254: 0.5% loss, max 6.036 ms","0% loss, max RTT < 5 ms","--- to the bench host 192.168.1.211 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 200 received, 0% packet loss, time 40665ms rtt min/avg/max/mdev = 0.374/0.513/0.678/0.049 ms --- control: to the default gateway 192.168.1.254 --- --- 192.168.1.254 ping statistics --- 200 packets transmitted, 199 received, 0.5% packet loss, time 40103ms rtt min/avg/max/mdev = 0.412/0.953/6.03...",2026-09-22T19:11:48Z
Digital,Ethernet (RJ45),NW3,FAIL,"bench host 192.168.1.211: worst 1.0% loss over 3 passes [0.0, 1.0, 1.0], max RTT 0.703 ms; gateway 192.168.1.254: worst 1.5% loss over 3 passes [0.0, 0.0, 1.5], max RTT 13.398 ms","0% loss, max RTT < 5 ms","--- bench host 192.168.1.211, pass 1/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 200 received, 0% packet loss, time 40670ms rtt min/avg/max/mdev = 0.354/0.515/0.703/0.056 ms --- bench host 192.168.1.211, pass 2/3 --- --- 192.168.1.211 ping statistics --- 200 packets transmitted, 198 received, 1% packet loss, time 40680ms rtt min/avg/max/mdev = 0.352/0.513/0.667/0.052 ms...",2026-09-22T19:16:28Z
Assemblies,SHARC DSP A (ADSP-21564),AS-DSPA,PASS,"CHIP_ID 1 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 10942->15384 (delta 4442), 28/47 lanes CARRYING",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 9517 TICKS 2521 SEC_COUNT 9519 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 3915 SPI_RX_COUNT 510 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x0001A...,2026-09-22T19:17:03Z
Inter-board links,Link 'dig-dsp-a',AS-DSPA,PASS,"CHIP_ID 1 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 10942->15384 (delta 4442), 28/47 lanes CARRYING",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 9517 TICKS 2521 SEC_COUNT 9519 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 3915 SPI_RX_COUNT 510 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x0001A...,2026-09-22T19:17:03Z
Assemblies,SHARC DSP B (ADSP-21564),AS-DSPB,PASS,"CHIP_ID 2 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 23779->28266 (delta 4487)",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 22321 TICKS 6684 SEC_COUNT 22325 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 4543 SPI_RX_COUNT 463 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x000...,2026-09-22T19:17:06Z
Inter-board links,Link 'dig-dsp-b',AS-DSPB,PASS,"CHIP_ID 2 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 23779->28266 (delta 4487)",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 22321 TICKS 6684 SEC_COUNT 22325 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 4543 SPI_RX_COUNT 463 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x000...,2026-09-22T19:17:06Z
Assemblies,CPLD clock master (MAX V),AS-CPLD,NO DATA,design id unreadable under dsp4-pcm-slave; BLK_OVERRUN delta over 10 s: chip1 0 chip2 0,id = d02d83b3cc22 and zero overrun delta,"config.txt: 74:dtoverlay=dsp4-pcm-slave --- logic_id --- design_id: 32'h83b3cc22 cfg_bits: 16'h0010 SHIPPING reply frames 2175 of 144000 captured, 1 distinct reply words --- blk30 chip1 --- chip1: BOOT_STAGE 7->7 SEC_COUNT 74055 chip1: 30012 blocks in 10.0 s = 3000/s (bar 3000/s at BLOCK=16) chip1: BLK_OVERRUN 3915 -> 3915 (delta 0) SPORT0_ERR_A 0x00000000 chip1: BLK_OK --- blk30 chip2 --- chip...",2026-09-22T19:17:30Z
Assemblies,"ADC AK5558 ×3 (U15 dead, U39, U60)",AS-ADC,NO DATA,no IN_* lanes in the scan,U39 and U60 lanes alive and not stuck-at,AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output IN_04 0 0 0 0 16 14 -117.01 -112.45 ffffee00 ffffef00 fffff600 CARRYING IN_16 1 1 0 1 16 13 -114.85 -106.43 00000200 ffffd800 00000600 CARRYING IN_03 2 2 0 2 16 14 -119.19 -112.90 fffff300 fffffe00 00000500 CARRYING IN_15 3 3 0 3 16 14 -116.33 -110.87 ffffe800 ffffeb00 00000900 CARRYING IN_14 4 4 0 4 16 14 -115.76 -108.10 ffffeb00 00000d00 0...,2026-09-22T19:17:32Z
Inter-board links,Link 'dig-analog-adc',AS-ADC,NO DATA,no IN_* lanes in the scan,U39 and U60 lanes alive and not stuck-at,AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output IN_04 0 0 0 0 16 14 -117.01 -112.45 ffffee00 ffffef00 fffff600 CARRYING IN_16 1 1 0 1 16 13 -114.85 -106.43 00000200 ffffd800 00000600 CARRYING IN_03 2 2 0 2 16 14 -119.19 -112.90 fffff300 fffffe00 00000500 CARRYING IN_15 3 3 0 3 16 14 -116.33 -110.87 ffffe800 ffffeb00 00000900 CARRYING IN_14 4 4 0 4 16 14 -115.76 -108.10 ffffeb00 00000d00 0...,2026-09-22T19:17:32Z
Assemblies,DAC AK4458 ×2,AS-DAC,NO DATA,TX slot read (see evidence); no stimulus on this image (TEST_NODES symbol: False),"slots non-constant while TEST_OSC runs, correct level in dBFS","--- coherent capture of _tx_out_slot_C2_MON_OUT (256 samples) --- _tx_out_slot_C2_MON_OUT at 0x0B10CC, capturing 256 contiguous samples captured True samples, 256 non-zero first 16 Q4.28: +0.00001 +0.00000 -0.00001 +0.00000 +0.00000 -0.00000 +0.00000 -0.00000 +0.00000 -0.00001 -0.00000 -0.00000 +0.00000 +0.00000 +0.00000 -0.00000 chip1 carries _osc_blk_q_C1_TEST_OSC: False PREREQUISITE: a stimu...",2026-09-22T19:17:36Z
Inter-board links,Link 'dig-analog-dac',AS-DAC,NO DATA,TX slot read (see evidence); no stimulus on this image (TEST_NODES symbol: False),"slots non-constant while TEST_OSC runs, correct level in dBFS","--- coherent capture of _tx_out_slot_C2_MON_OUT (256 samples) --- _tx_out_slot_C2_MON_OUT at 0x0B10CC, capturing 256 contiguous samples captured True samples, 256 non-zero first 16 Q4.28: +0.00001 +0.00000 -0.00001 +0.00000 +0.00000 -0.00000 +0.00000 -0.00000 +0.00000 -0.00001 -0.00000 -0.00000 +0.00000 +0.00000 +0.00000 -0.00000 chip1 carries _osc_blk_q_C1_TEST_OSC: False PREREQUISITE: a stimu...",2026-09-22T19:17:36Z
Assemblies,"Power MCU (STM32F030F4, always-on)",AS-PWR,NO DATA,no reader for the power MCU's published words; AN_EN (GPIO26) = 26: op -- pd | lo,"state running, PWR_FAIL clear, AN_EN as expected","PREREQUISITE: a reader for the power MCU over MHRX. Nothing in this repo reads the power MCU's state word, PWR_FAIL or its AN_EN view; src/fw/d24-pwr-mcu-def.csv is not in this tree (it is mx26's). AN_EN is not an MCU word at all -- it is CM4 GPIO26, read here as: 26: op -- pd | lo // GPIO26 = output",2026-09-22T19:17:37Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,NO DATA,1 MEMS lanes all STATIC with AN_EN 26: op -- pd | lo,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC PREREQUISITE: the analog rails. AN_EN (GPIO26) is low and a dispatched session may not raise it (bench note 19 / S49-15: ""AN_EN is never written by a dispatched session""). With the front ends unpowered a STATIC lane is the test state, not a converter fault, so this is...",2026-09-22T19:17:39Z
Left Switch PCBA,Speaker,SP1,NO DATA,no TEST_OSC -> SPKR route in the topology,1 kHz tone on the MEMS lane >= 20 dB above its idle floor,"DEF ITEM, not a fixture (the spec's own disposition for this case). No node or cell named for the speaker exists: zero hits for spkr/speaker in defs/products/d24/dsp.csv and MW/D24/MX/_matrix.csv. SPKR0/SPKR1 are connector pins only (d24-hw-inventory.csv:1075 Left Switch J2; :278 Analog J59). The path is DSPB O2 = PLL8_1 = CDC_I -> AK4619 codec DAC -> TS482 amp on the Digital board -> panels (h...",2026-09-22T19:17:39Z
Assemblies,"ADC AK5558 ×3 (U15 dead, U39, U60)",AS-ADC,PASS,"lane 0 (U15): 8/8 CARRYING, rms -117.7..-115.0 dBFS; lane 1 (U39): 8/8 CARRYING, rms -119.2..-114.6 dBFS; lane 2 (U60): 8/8 CARRYING, rms -119.5..-113.8 dBFS; lane 3 (strips 25-32, NET-only (no D24 ADC)): 0/8 CARRYING, rms -186.6..-186.6 dBFS",U39 and U60 lanes alive and not stuck-at (U15's eight known dead),AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output IN_04 0 0 0 0 16 15 -115.05 -107.59 00000400 00001700 00001500 CARRYING IN_16 1 1 0 1 16 14 -115.80 -108.93 00000a00 00000200 00001100 CARRYING IN_03 2 2 0 2 16 15 -116.23 -109.53 00000b00 fffff700 fffffb00 CARRYING IN_15 3 3 0 3 16 13 -116.89 -108.93 fffffa00 00000600 fffff200 CARRYING IN_14 4 4 0 4 16 13 -116.05 -107.84 00000500 fffffe00 f...,2026-09-22T19:18:46Z
Inter-board links,Link 'dig-analog-adc',AS-ADC,PASS,"lane 0 (U15): 8/8 CARRYING, rms -117.7..-115.0 dBFS; lane 1 (U39): 8/8 CARRYING, rms -119.2..-114.6 dBFS; lane 2 (U60): 8/8 CARRYING, rms -119.5..-113.8 dBFS; lane 3 (strips 25-32, NET-only (no D24 ADC)): 0/8 CARRYING, rms -186.6..-186.6 dBFS",U39 and U60 lanes alive and not stuck-at (U15's eight known dead),AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output IN_04 0 0 0 0 16 15 -115.05 -107.59 00000400 00001700 00001500 CARRYING IN_16 1 1 0 1 16 14 -115.80 -108.93 00000a00 00000200 00001100 CARRYING IN_03 2 2 0 2 16 15 -116.23 -109.53 00000b00 fffff700 fffffb00 CARRYING IN_15 3 3 0 3 16 13 -116.89 -108.93 fffffa00 00000600 fffff200 CARRYING IN_14 4 4 0 4 16 13 -116.05 -107.84 00000500 fffffe00 f...,2026-09-22T19:18:46Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,NO DATA,1 MEMS lanes all STATIC with AN_EN 26: op -- pd | lo,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC PREREQUISITE: the analog rails. AN_EN (GPIO26) is low and a dispatched session may not raise it (bench note 19 / S49-15: ""AN_EN is never written by a dispatched session""). With the front ends unpowered a STATIC lane is the test state, not a converter fault, so this is...",2026-09-22T19:18:48Z
Assemblies,SHARC DSP A (ADSP-21564),AS-DSPA,PASS,"CHIP_ID 1 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 11142->15573 (delta 4431), 28/47 lanes CARRYING",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 9479 TICKS 2500 SEC_COUNT 9481 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 3963 SPI_RX_COUNT 510 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x0001A...,2026-09-22T19:19:51Z
Inter-board links,Link 'dig-dsp-a',AS-DSPA,PASS,"CHIP_ID 1 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 11142->15573 (delta 4431), 28/47 lanes CARRYING",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 9479 TICKS 2500 SEC_COUNT 9481 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 3963 SPI_RX_COUNT 510 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x0001A...,2026-09-22T19:19:51Z
Assemblies,SHARC DSP B (ADSP-21564),AS-DSPB,PASS,"CHIP_ID 2 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 23949->28785 (delta 4836)",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 22471 TICKS 6744 SEC_COUNT 22475 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 4484 SPI_RX_COUNT 463 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x000...,2026-09-22T19:19:54Z
Inter-board links,Link 'dig-dsp-b',AS-DSPB,PASS,"CHIP_ID 2 BUILD_ID 0x20260812 BOOT_STAGE 7, FRAME_COUNT 23949->28785 (delta 4836)",heartbeat advancing + build id answers + BOOT_STAGE 7,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 22471 TICKS 6744 SEC_COUNT 22475 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 4484 SPI_RX_COUNT 463 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x000...,2026-09-22T19:19:54Z
Assemblies,CPLD clock master (MAX V),AS-CPLD,NO DATA,design id unreadable under dsp4-pcm-slave; BLK_OVERRUN delta over 10 s: chip1 0 chip2 0,id = d02d83b3cc22 and zero overrun delta,"config.txt: 74:dtoverlay=dsp4-pcm-slave --- logic_id --- design_id: 32'h83b3cc22 cfg_bits: 16'h0010 SHIPPING reply frames 2175 of 144000 captured, 1 distinct reply words --- blk30 chip1 --- chip1: BOOT_STAGE 7->7 SEC_COUNT 74487 chip1: 30011 blocks in 10.0 s = 3000/s (bar 3000/s at BLOCK=16) chip1: BLK_OVERRUN 3963 -> 3963 (delta 0) SPORT0_ERR_A 0x00000000 chip1: BLK_OK --- blk30 chip2 --- chip...",2026-09-22T19:20:19Z
Inter-board links,Link 'hdmi-pwr',HD-PWR,PASS,inferred from HD0-1 PASS,HD0-1 PASS,inferred from HD0-1 = PASS,2026-09-22T20:00:15Z
HDMI FPC (rev B),Display link HDMI0 → TFT,HD0-2,NO DATA,"connected on 60 of 60 samples over 3540 s, drm hotplug uevents 0 (window short of the spec)",">= 3600 s, no state change, hotplug count unchanged",samples=60 interval=60s duration=3540s states=['connected'] drm_uevents=0 first: 2026-09-22T18:59:55Z connected last: 2026-09-22T19:58:55Z connected,2026-09-22T20:00:15Z
Assemblies,TFT display,HD0-2,NO DATA,"connected on 60 of 60 samples over 3540 s, drm hotplug uevents 0 (window short of the spec)",">= 3600 s, no state change, hotplug count unchanged",samples=60 interval=60s duration=3540s states=['connected'] drm_uevents=0 first: 2026-09-22T18:59:55Z connected last: 2026-09-22T19:58:55Z connected,2026-09-22T20:00:15Z
HDMI FPC (rev B),Display link HDMI0 → TFT,HD0-2,PASS,"connected on 61 of 61 samples over 3600 s, drm hotplug uevents 0",">= 3600 s, no state change, hotplug count unchanged",samples=61 interval=60s duration=3600s states=['connected'] drm_uevents=0 first: 2026-09-22T20:00:40Z connected last: 2026-09-22T21:00:40Z connected,2026-09-22T21:01:44Z
Assemblies,TFT display,HD0-2,PASS,"connected on 61 of 61 samples over 3600 s, drm hotplug uevents 0",">= 3600 s, no state change, hotplug count unchanged",samples=61 interval=60s duration=3600s states=['connected'] drm_uevents=0 first: 2026-09-22T20:00:40Z connected last: 2026-09-22T21:00:40Z connected,2026-09-22T21:01:44Z
